id,model,sku,retail_price,weboffer_price,name,category,manufacturer,description,availability,quantity,weight,transportational_weight,date_expected,main_image,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,attribute,attribute.1,attribute.2,attribute.3,attribute.4,attribute.5,attribute.6,attribute.7,attribute.8,attribute.9,attribute.10,attribute.11,attribute.12,attribute.13,attribute.14,attribute.15,attribute.16,attribute.17,attribute.18,attribute.19,attribute.20,attribute.21,attribute.22,attribute.23,attribute.24,attribute.25,attribute.26,attribute.27,attribute.28,attribute.29,attribute.30,attribute.31,attribute.32,attribute.33,Merged Images
14,86733,GP011-0014,9.5,6.9,Перфориран плат професионален за стол на режисьор в цвят оранжев Megapap,Градински мебели > Платна за столове на режисьори,MEGAPAP,"Професионален перфориран плат за фотьойл на режисьор в цвят оранжев MegapapТехнически характеристики: 	Цвят: Оранжев	Материал: Перфориран PVC textilene 1x1	Укрепена тъкан за професионална употребаЗабележки: Платовете на режисьора Megapap са идеални за повечето професионални режисьорски столове. Преди да направите поръчката си, трябва да се извърши проверка на размерите на вече съществуващите платове, имайки предвид, че платовете на режисьора, които притежавате, може да са се разтегнали, следователно размерите няма да бъдат точно същите като новите. Цветовият нюанс на продукта може да се различава леко от фотографското му изображение на екрана ви.",In Stock,62,0.32,0.004,,https://www.megapap.com/image/cache/wp/lj/products/GP011-0014-0.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0014-1.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0014-2.webp,,,,,,,,,Дълбочина в см: 80,Кило на брой кг: 35 гр,"Обем на брой cbm: 0,0012",Дължина в изправено положение см: 46 - 53,Височина вдигната см: 3 мм,Дължина в изправено положение: 46 - 53,Дълбочина см.: 80,Височина вдигната: 3 mm,Материал на изработка: PVC,"Обемно парче: 0,0012",Кило на брой кг: 35 гр,,,,,,,,,,,,,,,,,,,,,,,,"https://www.megapap.com/image/cache/wp/lj/products/GP011-0014-0.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0014-1.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0014-2.webp"
22,86732,GP011-0013,9.5,6.9,Перфориран плат професионален за стол на режисьор в цвят бордо Megapap,Градински мебели > Платна за столове на режисьори,MEGAPAP,"Професионален перфориран плат за фотьойл на режисьор в цвят бордо MegapapТехнически характеристики: 	Цвят: Бордо	Материал: Перфориран PVC textilene 1x1	Укрепена тъкан за професионална употребаЗабележки: Платовете на режисьора Megapap са идеални за повечето професионални режисьорски столове. Преди да направите поръчката си, трябва да се извърши проверка на размерите на вече съществуващите платове, имайки предвид, че платовете на режисьора, които притежавате, може да са се разтегнали, следователно размерите няма да бъдат точно същите като новите. Цветовият нюанс на продукта може да се различава леко от фотографското му изображение на екрана ви.",In Stock,61,0.32,0.004,,https://www.megapap.com/image/cache/wp/lj/products/GP011-0013-0.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0013-1.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0013-2.webp,,,,,,,,,Дълбочина в см: 80,Кило на брой кг: 35 гр,"Обем на брой cbm: 0,0012",Дължина в изправено положение см: 46 - 53,Височина вдигната см: 3 мм,Дължина в изправено положение: 46 - 53,Дълбочина см.: 80,Височина вдигната: 3 mm,Материал на изработка: PVC,"Обемно парче: 0,0012",Кило на брой кг: 35 гр,,,,,,,,,,,,,,,,,,,,,,,,"https://www.megapap.com/image/cache/wp/lj/products/GP011-0013-0.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0013-1.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0013-2.webp"
30,86731,GP011-0012,9.5,6.9,Перфориран плат професионален за стол на режисьор в цвят син Megapap,Градински мебели > Платна за столове на режисьори,MEGAPAP,"Професионален перфориран плат за фотьойл на режисьор в цвят син MegapapТехнически характеристики: 	Цвят: Син	Материал: Перфориран PVC textilene 1x1	Укрепена тъкан за професионална употребаЗабележки: Платовете на режисьора Megapap са идеални за повечето професионални режисьорски столове. Преди да направите поръчката си, трябва да се извърши проверка на размерите на вече съществуващите платове, имайки предвид, че платовете на режисьора, които притежавате, може да са се разтегнали, следователно размерите няма да бъдат точно същите като новите. Цветовият нюанс на продукта може да се различава леко от фотографското му изображение на екрана ви.",In Stock,90,0.32,0.004,,https://www.megapap.com/image/cache/wp/lj/products/GP011-0012-0.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0012-1.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0012-2.webp,,,,,,,,,Дълбочина в см: 80,Кило на брой кг: 35 гр,"Обем на брой cbm: 0,0012",Дължина в изправено положение см: 46 - 53,Височина вдигната см: 3 мм,Дължина в изправено положение: 46 - 53,Дълбочина см.: 80,Височина вдигната: 3 mm,Материал на изработка: PVC,"Обемно парче: 0,0012",Кило на брой кг: 35 гр,,,,,,,,,,,,,,,,,,,,,,,,"https://www.megapap.com/image/cache/wp/lj/products/GP011-0012-0.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0012-1.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0012-2.webp"
37,86730,GP011-0011,9.5,6.9,Перфориран плат професионален за стол на режисьор в цвят черен Megapap,Градински мебели > Платна за столове на режисьори,MEGAPAP,"Професионален перфориран плат за фотьойл на режисьор в цвят черен MegapapТехнически характеристики: 	Цвят: Черен	Материал: Перфориран PVC textilene 1x1	Укрепена тъкан за професионална употребаЗабележки: Платовете на режисьора Megapap са идеални за повечето професионални режисьорски столове. Преди да направите поръчката си, трябва да се извърши проверка на размерите на вече съществуващите платове, имайки предвид, че платовете на режисьора, които притежавате, може да са се разтегнали, следователно размерите няма да бъдат точно същите като новите. Цветовият нюанс на продукта може да се различава леко от фотографското му изображение на екрана ви.",In Stock,175,0.32,0.004,,https://www.megapap.com/image/cache/wp/lj/products/GP011-0011-0.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0011-1.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0011-2.webp,,,,,,,,,Дълбочина в см: 80,Кило на брой кг: 35 гр,"Обем на брой cbm: 0,0012",Дължина в изправено положение см: 46 - 53,Височина вдигната см: 3 мм,Дължина в изправено положение: 46 - 53,Дълбочина см.: 80,Височина вдигната: 3 mm,Материал на изработка: PVC,"Обемно парче: 0,0012",Кило на брой кг: 35 гр,,,,,,,,,,,,,,,,,,,,,,,,"https://www.megapap.com/image/cache/wp/lj/products/GP011-0011-0.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0011-1.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0011-2.webp"
46,86729,GP011-0010,9.5,6.9,Перфориран плат професионален за стол на режисьора в бяло Megapap,Градински мебели > Платна за столове на режисьори,MEGAPAP,"Професионален перфориран плат за стол на режисьор в бял цвят MegapapТехнически характеристики: 	Цвят: Бял	Материал: Перфориран PVC textilene 1x1	Укрепена плетка за професионална употребаЗабележки: Платовете на режисьора Megapap са идеални за повечето професионални столове на режисьори. Преди да направите поръчката си, трябва да е извършена проверка на размерите на вече съществуващите платове, имайки предвид, че платовете на режисьора, които притежавате, може да са се разтегнали, следователно размерите няма да са точно същите като новите.Цветовият нюанс на продукта може да се различава леко от фотографското му изображение на екрана ви.",In Stock,86,0.32,0.004,,https://www.megapap.com/image/cache/wp/lj/products/GP011-0010-0.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0010-1.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0010-2.webp,,,,,,,,,Дълбочина в см: 80,Кило на брой кг: 35 гр,"Обем на брой cbm: 0,0012",Дължина в изправено положение см: 46 - 53,Височина вдигната см: 3 мм,Дължина в изправено положение: 46 - 53,Дълбочина см.: 80,Височина вдигната: 3 mm,Материал на изработка: PVC,"Обемно парче: 0,0012",Кило на брой кг: 35 гр,,,,,,,,,,,,,,,,,,,,,,,,"https://www.megapap.com/image/cache/wp/lj/products/GP011-0010-0.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0010-1.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0010-2.webp"
55,86728,GP011-0009,9.5,6.9,Перфориран плат професионален за стол на режисьора в зелено Megapap,Градински мебели > Платна за столове на режисьори,MEGAPAP,"Професионален перфориран плат за стол на режисьор в зелен цвят MegapapТехнически характеристики: 	Цвят: Зелен	Материал: Перфориран PVC textilene 1x1	Укрепена плетка за професионална употребаЗабележки: Платовете на режисьора Megapap са идеални за повечето професионални столове на режисьори. Преди да направите поръчката си, трябва да е извършена проверка на размерите на вече съществуващите платове, имайки предвид, че платовете на режисьора, които притежавате, може да са се разтегнали, следователно размерите няма да са точно същите като новите.Цветовият нюанс на продукта може да се различава леко от фотографското му изображение на екрана ви.",In Stock,131,0.32,0.004,,https://www.megapap.com/image/cache/wp/lj/products/GP011-0009-0.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0009-1.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0009-2.webp,,,,,,,,,Дълбочина в см: 80,Кило на брой кг: 35 гр,"Обем на брой cbm: 0,0012",Дължина в изправено положение см: 46 - 53,Височина вдигната см: 3 мм,Дължина в изправено положение: 46 - 53,Дълбочина см.: 80,Височина вдигната: 3 mm,Материал на изработка: PVC,"Обемно парче: 0,0012",Кило на брой кг: 35 гр,,,,,,,,,,,,,,,,,,,,,,,,"https://www.megapap.com/image/cache/wp/lj/products/GP011-0009-0.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0009-1.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0009-2.webp"
63,86727,GP011-0008,9.5,6.9,Перфориран плат професионален за стол на режисьора в червено Megapap,Градински мебели > Платна за столове на режисьори,MEGAPAP,"Професионален перфориран плат за стол на режисьор в червен цвят MegapapТехнически характеристики: 	Цвят: Червен	Материал: Перфориран PVC textilene 1x1	Укрепена плетка за професионална употребаЗабележки: Платовете на режисьора Megapap са идеални за повечето професионални столове на режисьори. Преди да направите поръчката си, трябва да е извършена проверка на размерите на вече съществуващите платове, имайки предвид, че платовете на режисьора, които притежавате, може да са се разтегнали, следователно размерите няма да са точно същите като новите.Цветовият нюанс на продукта може да се различава леко от фотографското му изображение на екрана ви.",In Stock,54,0.32,0.004,,https://www.megapap.com/image/cache/wp/lj/products/GP011-0008-0.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0008-1.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0008-2.webp,,,,,,,,,Дълбочина в см: 80,Кило на брой кг: 35 гр,"Обем на брой cbm: 0,0012",Дължина в изправено положение см: 46 - 53,Височина вдигната см: 3 мм,Дължина в изправено положение: 46 - 53,Дълбочина см.: 80,Височина вдигната: 3 mm,Материал на изработка: PVC,"Обемно парче: 0,0012",Кило на брой кг: 35 гр,,,,,,,,,,,,,,,,,,,,,,,,"https://www.megapap.com/image/cache/wp/lj/products/GP011-0008-0.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0008-1.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0008-2.webp"
64,80409,GP009-0048,170.0,139.0,Шкаф за дрехи Diamond Megapap двукрилен в бяло 60x38x187см.,Мебели за вътрешни помещения > Мебели за баня,MEGAPAP,"Двукрила гардероб Diamond Megapap в бял цвят 60x38x187см.Технически характеристики: 	Цвят: бял 	Размери: Дължина 60 x Дълбочина 38 x Височина 187 см.	Дебелина на меламина: 16mm	Изработен от ПДЧ с покритие от меламин с отлично качество и висока устойчивост на износване и време.	Съдържа едно чекмедже в средата и шест рафта, три в горната част и три в долната. 	Подходящ за употреба и като баня гардероб за съхранение на баня принадлежности, като кърпи, почистващи препарати и др.	Материалите за изработка са безвредни за околната среда и здравето, не съдържат канцерогенни вещества и отговарят на европейските стандарти за качество Е1.	Идеален за вашето домашно и професионално пространство.Внимание на имитациите: Подобни дизайни на мебели може да се предлагат на пазара на по-ниска цена, но с различни материали за изработка. Винаги проверявайте дебелината на ПДЧ и най-вече дали покритието е истински меламин или хартия меламин (Paperwood). Разликата в качеството и устойчивостта е голяма, меламинът и хартия меламинът нямат нищо общо помежду си.Забележки: Продуктът се доставя неасемблиран, в заводска опаковка и с подробен ръководство за сглобяване.Цветовият нюанс на продукта може да се различава леко от фотографското му изображение на екрана ви.",In Stock,7,47.0,0.1081,05/11/2025,https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-0.webp,https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-1.webp,https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-2.webp,https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-3.webp,https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-4.webp,https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-5.webp,https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-6.webp,,,,,Брой пакети на брой: 1,Дълбочина в см: 38,Кила опаковка kg: 47,Кило на брой kg: 46,"Кубичен контейнер cbm: 0,1","Обем на кутия mmm: 0,1","Кубичен елемент cbm: 0,1","Обем на парче mmm: 0,1","Дължина на кутията cm: 62,5",Дължина вдигната cm: 60,Дебелина на плочите в мм: 16мм,Ширина на кутията в см: 188,"Височина на кутията см: 9,2",Височина в изправено положение см: 187,Дължина в изправено положение: 60,Дълбочина в изправено положение см.: 40,Височина в изправено положение: 187,Дебелина на плочите: 16mm,Материал на изработка: Меламин,Бройки в кутията: 1,"Дължина на кутията: 62,5",Ширина на кутията: 188,"Височина на кутията: 9,2","Обем на кутията: 0,108","Кубичен елемент: 0,108",Кила опаковка: 47,Кило на брой kg: 46,K/D: YES,,,,,,,"https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-0.webp, https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-1.webp, https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-2.webp, https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-3.webp, https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-4.webp, https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-5.webp, https://www.megapap.com/image/cache/wp/lj/products/GP009-0048-6.webp"
69,80444,GP009-0090,123.0,99.0,Обувалка Flat Duo Megapap за 24 двойки в бяло 73x26x157см.,Мебели за вътрешни помещения > Обувалки,MEGAPAP,"Обувна кутия от меламин Flat Duo Megapap за 24 двойки в бял цвят 73x26x157 см. Технически характеристики: 	Цвят: бял 	Размери: Дължина 73 x Дълбочина 26 x Височина 157 см. 	Дебелина на меламина: 16 мм	Изработена от ПДЧ с покритие от меламин с отлично качество и висока устойчивост на износване и време.	Разполага с четири наклонени шкафчета. 	Материалите за изработка са безвредни за околната среда и здравето, не съдържат канцерогенни вещества и отговарят на европейските стандарти за качество E1.	Идеална за вашето домашно и професионално пространство. Внимание на имитациите: Подобни дизайни на мебели могат да се предлагат на пазара на по-ниска цена, но с различни материали за изработка. Винаги проверявайте дебелината на ПДЧ и най-вече дали покритието е истински меламин или хартомеламин (Paperwood). Разликата в качеството и устойчивостта е голяма, меламинът и хартомеламинът нямат нищо общо помежду си. Забележки: Продуктът се доставя неасемблиран, в заводска опаковка и с подробен ръководство за сглобяване. Цветовият нюанс на продукта може да се различава леко от фотографското му изображение на екрана ви.",In Stock,15,31.9,0.11769975,,https://www.megapap.com/image/cache/wp/lj/products/GP009-0090-0.webp,https://www.megapap.com/image/cache/wp/lj/products/GP009-0090-1.webp,https://www.megapap.com/image/cache/wp/lj/products/GP009-0090-2.webp,https://www.megapap.com/image/cache/wp/lj/products/GP009-0090-3.webp,https://www.megapap.com/image/cache/wp/lj/products/GP009-0090-4.webp,,,,,,,Брой пакети на брой: 1,Дълбочина в см: 26,"Кила опаковка kg: 31,90","Кило на брой kg: 30,10","Обем на кутия cbm: 0,11","Обем на кутия mmm: 0,11","Кубичен елемент cbm: 0,11","Обем на парче mmm: 0,11","Дължина на кутията cm: 70,5",Дължина в изправено положение см: 73,Дебелина на плочите в мм: 16мм,Ширина на кутията см: 159,"Височина на кутията см: 10,5",Височина в изправено положение см: 157,Дължина в изправено положение: 73,Дълбочина в изправено положение см.: 26,Височина в изправено положение: 157,Дебелина на плочите: 16mm,Материал на изработка: Меламин,Бройки в кутията: 1,"Дължина на кутията: 70,5",Ширина на кутията: 159,"Височина на кутията: 10,5","Обем на кутията: 0,122","Кубичен елемент: 0,122","Кила опаковка: 31,90","Кило на брой kg: 30,10",K/D: YES,,,,,,,"https://www.megapap.com/image/cache/wp/lj/products/GP009-0090-0.webp, https://www.megapap.com/image/cache/wp/lj/products/GP009-0090-1.webp, https://www.megapap.com/image/cache/wp/lj/products/GP009-0090-2.webp, https://www.megapap.com/image/cache/wp/lj/products/GP009-0090-3.webp, https://www.megapap.com/image/cache/wp/lj/products/GP009-0090-4.webp"
70,86726,GP011-0007,9.5,6.9,Перфориран плат професионален за стол на режисьора в тъмно зелен Megapap,Градински мебели > Платна за столове на режисьори,MEGAPAP,"Дупчено платно за професионален стол на режисьор в цвят кипарис Megapap Технически характеристики: 	Цвят: Кипарис	Материал: Дупчено PVC текстилен 1x1	Усилена плетка за професионална употреба Забележки: Платната на режисьора Megapap са идеални за повечето професионални столове на режисьори. Преди да направите поръчката си, трябва да е извършена проверка на размерите на вече съществуващите платна, имайки предвид, че платната на режисьора, които притежавате, може да са се разтегнали, следователно размерите няма да са точно същите като новите. Цветовият нюанс на продукта може да се различава леко от фотографското му изображение на екрана ви.",In Stock,76,0.32,0.004,,https://www.megapap.com/image/cache/wp/lj/products/GP011-0007-0.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0007-1.webp,https://www.megapap.com/image/cache/wp/lj/products/GP011-0007-2.webp,,,,,,,,,Дълбочина в см: 80,Кило на брой кг: 35 гр,"Обем на брой cbm: 0,0012",Дължина в изправено положение см: 46 - 53,Височина вдигната см: 3 мм,Дължина в изправено положение: 46 - 53,Дълбочина см.: 80,Височина вдигната: 3 mm,Материал на изработка: PVC,"Обемно парче: 0,0012",Кило на брой кг: 35 гр,,,,,,,,,,,,,,,,,,,,,,,,"https://www.megapap.com/image/cache/wp/lj/products/GP011-0007-0.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0007-1.webp, https://www.megapap.com/image/cache/wp/lj/products/GP011-0007-2.webp"
